number,title,group_name,subgroup_name
60,"Nastał nam czas przeradosny","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
61,"Jezus żyje, z Nim i ja!","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
62,"Przeminęła, przeminęła","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
63,"W ciemnej nocy z Bożej mocy","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
64,"Radość pienia dziękczynienia","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
65,"Wstał z martwych mój Zbawiciel","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
66,"W ciemny grób złożon Pan","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
67,"W górę serca, Boże dzieci","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
68,"Jezus jako Król panuje","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
69,"Królewski strój się śpieszcie nieść","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
70,"Zbawicielu wywyższony","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
71,"Cudowna siła zlała się","I. Bóg Trójjedyny","4. Duch Święty"
72,"Jak błogie, wieczne szczęście nam","I. Bóg Trójjedyny","4. Duch Święty"
73,"Na Twój święty Kościół cały","I. Bóg Trójjedyny","4. Duch Święty"
74,"Me serce pełne chwał","I. Bóg Trójjedyny","4. Duch Święty"
75,"Duchu Pana","I. Bóg Trójjedyny","4. Duch Święty"
76,"Na Twym ołtarzu, Panie","I. Bóg Trójjedyny","4. Duch Święty"
77,"Nawiedź nas, Duchu Święty","I. Bóg Trójjedyny","4. Duch Święty"
78,"Niegdyś pierwsi tam uczniowie","I. Bóg Trójjedyny","4. Duch Święty"
79,"O Boże, Duchu, o Światłości","I. Bóg Trójjedyny","4. Duch Święty"
80,"Oby, Jezu, znów w tym świecie","I. Bóg Trójjedyny","4. Duch Święty"
81,"Otwórzmy dziś swych serc podwoje","I. Bóg Trójjedyny","4. Duch Święty"
82,"O, by już wkrótce rozgorzały","I. Bóg Trójjedyny","4. Duch Święty"
83,"Panie, wysłuchać modłów chciej","I. Bóg Trójjedyny","4. Duch Święty"
84,"O Zbawicielu drogi","I. Bóg Trójjedyny","4. Duch Święty"
85,"Wielką radość, pokój błogi","I. Bóg Trójjedyny","4. Duch Święty"
86,"Przyjdź, Duchu Święty","I. Bóg Trójjedyny","4. Duch Święty"
87,"Ześlij, Panie, Swego Ducha","I. Bóg Trójjedyny","4. Duch Święty"
88,"Znasz ty już ten kraj","I. Bóg Trójjedyny","4. Duch Święty"
89,"Boża miłość nad nami trwa","I. Bóg Trójjedyny","5. Miłość Pańska"
90,"Bóg jest miłością","I. Bóg Trójjedyny","5. Miłość Pańska"
91,"Chcę śpiewać o miłości Jezusa","I. Bóg Trójjedyny","5. Miłość Pańska"
92,"Chrystus kocha nas niezmiernie","I. Bóg Trójjedyny","5. Miłość Pańska"
93,"Czyż tron Twój","I. Bóg Trójjedyny","5. Miłość Pańska"
94,"Głośmy radośnie wszyscy wraz","I. Bóg Trójjedyny","5. Miłość Pańska"
95,"Miłość cudowna","I. Bóg Trójjedyny","5. Miłość Pańska"
96,"O, ta miłość Twoja, Panie","I. Bóg Trójjedyny","5. Miłość Pańska"
97,"Podziwiam, podziwiam","I. Bóg Trójjedyny","5. Miłość Pańska"
98,"Przewyższa rozum wielka miłość Twa","I. Bóg Trójjedyny","5. Miłość Pańska"
99,"Zobacz, jak Pan Go miłował","I. Bóg Trójjedyny","5. Miłość Pańska"
100,"Znam miłość Jezusa wspaniałą","I. Bóg Trójjedyny","5. Miłość Pańska"
101,"Boży Baranku!","I. Bóg Trójjedyny","6. Dzieło pojedniania"
102,"Chrystus Pan opuścił niebios sławę","I. Bóg Trójjedyny","6. Dzieło pojedniania"
103,"Jeden tylko godzien nieść","I. Bóg Trójjedyny","6. Dzieło pojedniania"
104,"Czy znasz to imię","I. Bóg Trójjedyny","6. Dzieło pojedniania"
105,"Golgoty to szczyt","I. Bóg Trójjedyny","6. Dzieło pojedniania"
106,"Ja pragnę Jezu śpiewać","I. Bóg Trójjedyny","6. Dzieło pojedniania"
107,"Jeden przyszedł na ziemię","I. Bóg Trójjedyny","6. Dzieło pojedniania"
108,"Krzyż Pański mocno trwa","I. Bóg Trójjedyny","6. Dzieło pojedniania"
109,"Łaski wspaniałej się strumień zlał","I. Bóg Trójjedyny","6. Dzieło pojedniania"
110,"Najlepszy Lekarz zbliża się","I. Bóg Trójjedyny","6. Dzieło pojedniania"
111,"O Golgoto, w ciszy twej","I. Bóg Trójjedyny","6. Dzieło pojedniania"
112,"Nic dodać nie możesz do łaski","I. Bóg Trójjedyny","6. Dzieło pojedniania"
113,"O, mów mi, mów o Jezusie","I. Bóg Trójjedyny","6. Dzieło pojedniania"
114,"Ożywcze źródło tryska","I. Bóg Trójjedyny","6. Dzieło pojedniania"
